품목분류(HS),HSK품목명,HSK영문명,통제번호
304540000,황새치[자이피어스 글래디어스(Xiphias gladius)],Swordfish (Xiphias gladius),
2827350000,니켈 염화물,Of nickel,
8536703010,주조ㆍ주형ㆍ압착ㆍ단조(이보다 더 가공하지 않은 것으로 한정한다),"Cast, moulded, stamped or forged, but not further worked",
1513191000,정제유(精製油),Refined oil,
4012209090,기타,Other,
7216320000,아이(I)형강,I sections,
2940002010,히드록시프로필 슈크로오스,Hydroxypropyl sucrose,
6904900000,기타,Other,
2915310000,초산에틸,Ethyl acetate,
910112000,건조한 것,Dried,
1211203100,인삼잎과 줄기,Leaves and stems of ginseng,
301939000,기타,Other,
8470300000,그 밖의 계산기,Other calculating machines,
8907902000,탱크,Tanks,
0305491000,멸치,Anchovies,
3505202000,덱스트린 글루(glue),Dextrin glues,
709991000,고사리,Bracken,
0106110000,영장류,Primates,
302140000,대서양 연어[살모 살라(Salmo salar)]와 다뉴브 연어[후코 후코(Hucho hucho)],Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho),
2305000000,땅콩기름을 추출할 때 얻는 오일 케이크와 고체 형태의 유박[잘게 부순 것인지 또는 펠릿(pellet) 모양인지에 상관없다],"Oil-cake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of ground-nut oil.",
8202400000,체인톱의 날,Chain saw blades,
8449001000,기계,Machinery,
301119000,기타,Other,
0602201000,사과나무,Apple trees,
6404110000,"스포츠용 신발류, 테니스화ㆍ농구화ㆍ체조화ㆍ훈련화나 이와 유사한 것","Sports footwear; tennis shoes, basketball shoes, gym shoes, training shoes and the like",
6810999000,기타,Other,
8432901000,플라우(쟁기)의 것,Of ploughs,
2825502010,농약원제(農藥原劑)(｢농약관리법｣에 따라 등록된 것으로 한정한다),Material for manufacturing agricultural chemicals (registered material under the Agricultural Chemicals Management Act),
4403494000,티아마(Tiama)ㆍ만소니아(Mansonia)ㆍ이롬바(Ilomba)ㆍ디베토우(Dibétou)ㆍ림바(Limba)ㆍ아조베(Azobé),"Tiama, Mansonia, Ilomba, Dibetou, Limba and Azobe'",
2903930000,펜타클로로벤젠(ISO),Pentachlorobenzene (ISO),
3702551000,영화필름,Cinematographic film,
8528492010,의료용으로 특수 제작된 것,Of specially manufactured for medical purpose,
4813900000,기타,Other,
7213999000,기타,Other,
2101119000,기타,Other,
7204490000,기타,Other,
5603129000,기타,Other,
3006105090,기타,Other,
712902030,대파,Welsh onions,
4411139000,기타,Other,
711905099,기타,Other,
2921439010,톨루이딘,Toluidines,
8417101010,철광석용,For iron-ores,
2103901030,고추장,Gochujangⓚ,
802110000,껍데기를 벗기지 않은 것,In shell,
5211520000,3올이나 4올의 능직물(綾織物)[파사문직(破斜文織)의 것을 포함한다],"3-thread or 4-thread twill, including cross twill",
7005211000,두께가 2밀리미터 이하인 것,Not more than 2 ㎜ in thickness,
9303301010,단발,Single-shot,
3302102090,기타,Other,
3301904800,기타,Other,
8479899030,아이레팅(eyeletting)기ㆍ튜불러리베팅(tubular revetting)기,Eyeletting or tubular rivetting machines,
3006401000,치과용 시멘트,Dental cements,
9017201090,기타,Other,
0508001000,산호,Coral,
3301130000,레몬유,Of lemon,
9701211000,회화,Paintings,
3915102000,제조 당시 파이프ㆍ호스 상태의 것,Pipes and hoses before they became wastes,
8460401000,호닝머신(honing machine),Honing machines,
8302419000,기타,Other,
711901000,마늘,Garlic,
0712391090,기타,Other,
2208909000,기타,Other,
1604191020,전갱이,Jack and horse mackerel,
2907232000,"4,4´-이소프로필리덴디페놀(비스페놀에이)의 염","Salts of 4,4'-isopropylidenediphenol (bisphenol A)",
0304730000,검정대구[폴라치우스 비렌스(Pollachius virens)],Coalfish (Pollachius virens),
8427101020,중고품,Used,
2826903000,플루오르화붕산염,Fluoroborates,
8425410000,차고용 고정식 재킹시스템(jacking system),Built-in jacking systems of a type used in garages,
3507901000,췌장계 효소,Pancreatic enzymes,
0307193000,염장이나 염수장한 것,Salted or in brine,
2606000000,알루미늄광과 그 정광(精鑛),Aluminium ores and concentrates.,
7409291000,반도체 제조용,For use in manufacturing semiconductor,
3909390000,기타,Other,
3215904010,유성,Of oil,
4418739000,기타,Other,
3406000000,양초와 이와 유사한 물품,"Candles, tapers and the like.",
2909303000,디페닐 에테르,Diphenylether,
2811292000,아산화질소,Nitrous oxide,
301929090,기타,Other,
307192000,건조한 것,Dried,
8422409010,자동포장기계,Automatic wrapping machinery,
6001210000,면으로 만든 것,Of cotton,
0101299000,기타,Other,
602901010,난초,Orchids or orchises,
1212213010,건조한 것,Dried,
6601100000,정원용 산류(傘類)나 이와 유사한 산류(傘類),Garden or similar umbrellas,
2941109090,기타,Other,
8210004000,세절기ㆍ 커터,Slicers and cutters,
9010109010,반도체 제조용,For the purpose of semiconductor manufacturing,
2530903000,스트론티아나이트(strontianite),Strontianite,
4804590000,기타,Other,
4901919000,기타,Other,
2939802000,"히스트리오니코톡신, 테트로도톡신",Histrinocotoxin and tetrodotoxin,
0711599000,기타,Other,
8902001020,에프알피(FRP)선,FRP ships,
